carat,cut,color,clarity,depth,table,x,y,z,price
0.3,Good,G,VS1,63.5,58.0,4.21,4.26,2.69,565
0.9,Very Good,E,VS2,61.1,63.0,6.17,6.2,3.78,4134
0.3,Premium,D,VVS2,62.4,58.0,4.26,4.3,2.67,752
1.5,Premium,I,VS2,61.4,58.0,7.28,7.24,4.46,11655
0.5,Premium,H,IF,60.3,58.0,5.14,5.18,3.11,1846
1.08,Very Good,H,VS2,62.9,59.0,6.47,6.56,4.1,5515
0.42,Ideal,D,VVS1,61.8,56.0,4.82,4.79,2.97,1621
0.55,Good,I,VVS2,61.0,61.0,5.32,5.36,3.26,1384
1.16,Ideal,H,VS2,62.1,57.0,6.7,6.73,4.17,6954
1.01,Good,E,VVS2,63.9,58.0,6.31,6.37,4.05,8415
1.11,Ideal,F,VS2,61.9,55.0,6.62,6.66,4.11,7823
0.31,Very Good,G,VS2,58.8,62.0,4.4,4.41,2.59,471
1.09,Premium,G,SI2,61.1,59.0,6.69,6.63,4.07,4794
0.29,Very Good,F,VVS2,60.1,58.0,4.32,4.37,2.61,664
0.41,Good,E,SI2,63.2,58.0,4.68,4.72,2.97,638
1.08,Ideal,D,VS1,61.1,56.0,6.59,6.63,4.04,9545
2.01,Premium,H,SI2,62.2,61.0,8.08,8.04,5.01,15673
0.32,Ideal,I,VVS1,61.9,55.0,4.4,4.39,2.72,756
0.55,Very Good,I,SI2,61.5,60.0,5.23,5.25,3.22,1087
0.71,Ideal,E,VS1,62.1,53.0,5.76,5.73,3.57,2963
1.58,Premium,D,SI2,59.6,59.0,7.67,7.61,4.55,10934
0.56,Ideal,G,VS2,62.0,56.0,5.28,5.3,3.28,1580
0.7,Good,G,VS1,63.5,61.0,5.6,5.64,3.57,2577
1.03,Ideal,H,VS2,62.3,56.0,6.46,6.44,4.02,5364
1.04,Premium,D,VS1,62.3,59.0,6.48,6.39,4.01,8341
0.44,Ideal,F,VVS2,60.9,55.0,4.96,4.92,3.01,1253
0.29,Very Good,F,VVS2,60.8,63.0,4.28,4.31,2.61,592
0.52,Ideal,I,IF,60.9,57.0,5.17,5.21,3.16,2111
0.61,Ideal,G,SI1,62.0,54.0,5.48,5.5,3.4,1579
0.31,Premium,G,VS2,61.5,59.0,4.33,4.35,2.67,544
0.9,Very Good,H,SI1,61.7,57.0,6.21,6.26,3.85,3772
0.42,Ideal,F,VS2,62.0,55.0,4.79,4.82,2.98,872
1.03,Premium,H,SI1,62.4,58.0,6.5,6.42,4.03,4274
0.31,Ideal,D,VVS2,62.4,56.0,4.38,4.34,2.72,982
0.3,Premium,I,VS1,59.8,60.0,4.36,4.34,2.6,608
1.03,Premium,F,VS1,61.8,59.0,6.46,6.48,4.0,7328
0.53,Ideal,E,VS2,60.8,55.0,5.26,5.3,3.21,1707
1.22,Very Good,J,VS2,60.8,56.0,6.95,6.91,4.21,5160
0.75,Fair,F,SI1,64.6,57.0,5.7,5.67,3.67,2700
0.27,Very Good,E,VVS1,59.9,57.0,4.23,4.25,2.54,620
1.26,Ideal,G,SI2,61.8,57.0,6.93,6.95,4.29,6362
1.2,Ideal,G,VS1,62.4,57.1,6.72,6.79,4.23,8698
0.41,Ideal,D,SI1,61.6,55.0,4.78,4.8,2.95,791
1.0,Very Good,G,SI2,63.3,56.0,6.38,6.29,4.01,3920
0.77,Premium,I,VS1,62.6,55.0,5.9,5.85,3.68,2524
0.82,Premium,H,VS1,62.3,60.0,5.97,5.94,3.71,2985
1.01,Premium,E,VS2,59.2,59.0,6.67,6.6,3.93,7287
0.52,Very Good,E,VS2,60.9,57.0,5.17,5.2,3.16,1689
0.71,Premium,E,VS2,62.2,59.0,5.79,5.76,3.59,3101
0.32,Ideal,G,IF,61.8,55.0,4.42,4.45,2.74,918
1.22,Premium,D,SI1,62.3,60.0,6.84,6.8,4.25,5739
2.0,Premium,I,VS2,60.7,60.0,8.07,8.02,4.88,16694
0.32,Very Good,F,VS1,62.2,55.0,4.37,4.39,2.72,616
0.33,Very Good,D,SI2,63.3,53.0,4.42,4.39,2.79,631
0.43,Premium,G,VS2,62.3,58.0,4.85,4.81,3.01,1113
1.27,Premium,J,SI2,60.4,58.0,7.04,7.0,4.24,4660
0.32,Ideal,G,VS1,62.1,55.0,4.41,4.38,2.73,828
0.91,Very Good,E,SI1,63.3,56.0,6.12,6.17,3.89,4191
1.32,Premium,F,VS2,60.9,59.0,7.12,7.06,4.32,10423
2.02,Ideal,J,SI2,62.7,56.9,8.03,8.07,5.05,11314
0.47,Ideal,I,VS2,62.1,54.0,4.99,5.03,3.11,884
1.01,Ideal,I,VS1,62.8,57.0,6.42,6.38,4.02,3991
0.33,Ideal,D,VS2,,55.0,4.5,4.52,2.72,667
0.72,Very Good,H,SI2,63.5,58.0,5.65,5.68,3.6,1942
1.01,Ideal,E,SI2,61.1,57.0,6.52,6.48,3.97,4751
0.4,Premium,E,SI1,,59.0,4.69,4.64,2.93,945
1.21,Ideal,I,SI2,60.6,56.0,6.92,6.94,4.2,5091
0.91,Ideal,H,VS1,60.8,58.0,6.27,6.32,3.83,4939
1.62,Premium,F,SI1,63.0,58.0,7.47,7.43,4.69,13298
2.01,Premium,H,VS2,62.6,59.0,8.02,7.88,4.98,13599
1.51,Ideal,G,VS1,61.9,57.0,7.37,7.34,4.55,14674
0.41,Good,H,VVS1,62.6,62.0,4.7,4.76,2.96,892
0.3,Ideal,E,VVS1,60.5,57.0,4.34,4.39,2.64,895
0.3,Ideal,E,VVS2,61.4,56.0,4.33,4.37,2.67,949
0.33,Very Good,G,VS1,60.1,61.0,4.44,4.48,2.68,666
0.57,Fair,F,VS1,64.5,61.0,5.23,5.19,3.36,1788
0.4,Good,F,VS2,62.2,61.0,4.71,4.74,2.94,784
1.62,Ideal,H,VS2,62.4,57.0,7.48,7.53,4.68,11114
1.3,Very Good,I,VS1,62.1,59.0,6.97,7.01,4.34,7333
1.0,Good,D,VS2,63.6,56.0,6.38,6.27,4.02,5645
1.0,Premium,F,VS2,62.2,59.0,6.37,6.29,3.94,6328
0.31,Very Good,F,VS2,62.9,58.0,4.27,4.31,2.7,625
1.01,Ideal,I,SI2,62.4,57.0,6.37,6.41,3.99,4336
0.35,Ideal,D,SI1,60.8,55.0,4.59,4.56,2.78,827
1.25,Ideal,J,SI1,62.4,57.0,6.86,6.92,4.3,5252
0.31,Premium,G,SI1,62.4,55.0,4.34,4.31,2.7,593
0.3,Premium,G,VVS2,60.8,58.0,4.38,4.34,2.65,878
0.76,Premium,G,I1,63.0,55.0,5.83,5.74,3.65,1629
0.28,Very Good,E,VVS1,61.1,60.0,4.17,4.21,2.56,646
1.57,Premium,G,SI1,59.5,58.0,7.56,7.61,4.51,10914
1.22,Very Good,J,SI2,62.6,58.0,6.78,6.84,4.26,4652
2.0,Good,D,SI2,60.3,56.0,8.08,8.11,4.88,16425
1.0,Ideal,G,VVS2,60.8,57.0,6.45,6.47,3.93,7744
0.5,Ideal,E,SI1,61.9,60.0,5.06,5.09,3.14,1337
0.41,Premium,I,VVS1,61.9,57.0,4.82,4.78,2.97,1107
0.9,Very Good,G,SI2,60.9,56.0,6.18,6.24,3.78,3581
1.02,Premium,F,VS1,61.9,59.0,6.44,6.38,3.97,7389
0.58,Premium,E,SI1,62.1,58.0,5.35,5.31,3.31,1812
1.2,Good,G,VS2,65.2,56.0,6.61,6.67,4.33,6793
1.04,Ideal,F,VVS2,61.2,57.0,6.5,6.53,3.99,9005
1.09,Very Good,E,SI2,60.9,59.0,6.61,6.75,4.07,5035
0.32,Ideal,I,VVS2,62.6,54.0,4.41,4.37,2.75,720
1.57,Premium,G,SI1,59.5,58.0,7.61,7.56,4.51,11113
0.32,Premium,G,VS2,61.0,59.0,4.46,4.42,2.71,720
0.3,Good,D,SI1,63.1,56.0,4.24,4.28,2.69,515
0.26,Ideal,D,VVS2,61.4,55.0,4.1,4.17,2.54,777
1.67,Ideal,H,VS1,61.8,55.9,7.57,7.6,4.69,13887
0.34,Ideal,H,VS1,62.2,55.0,4.47,4.49,2.79,620
1.03,Premium,J,SI1,61.1,61.0,6.49,6.44,3.95,3749
0.43,Premium,F,SI1,61.3,60.0,4.83,4.86,2.97,792
0.51,Good,E,SI1,63.9,54.0,5.09,5.05,3.24,1443
0.55,Premium,H,VVS1,61.1,57.0,5.35,5.26,3.24,1980
1.0,Premium,D,SI2,60.9,59.0,6.46,6.41,3.92,5286
0.51,Very Good,E,SI2,61.6,57.0,5.17,5.19,3.19,1195
2.1,Very Good,I,SI2,60.6,60.0,8.29,8.33,5.04,12612
0.3,Very Good,F,VS2,62.8,56.0,4.29,4.31,2.7,605
0.31,Premium,G,VS1,62.1,58.0,4.31,4.35,2.69,625
0.54,Ideal,E,VVS2,61.1,57.0,5.27,5.24,3.21,2375
1.01,Very Good,F,VS1,62.6,56.0,6.39,6.36,3.99,8081
0.3,Very Good,D,VS2,62.9,58.0,4.23,4.26,2.67,710
1.51,Ideal,E,SI1,62.2,56.0,7.31,7.36,4.56,13254
0.23,Premium,E,VVS2,61.8,58.0,3.94,3.92,2.43,680
0.42,Premium,G,VVS1,59.8,58.0,4.88,4.85,2.91,1235
0.3,Ideal,H,VS1,61.3,56.0,4.31,4.33,2.65,526
0.5,Fair,E,SI1,61.7,68.0,5.09,5.03,3.12,1238
0.4,Premium,D,VS1,62.5,60.0,4.66,4.72,2.93,1123
0.25,Very Good,F,VVS2,59.3,59.0,4.15,4.18,2.47,548
2.14,Premium,H,VS2,61.7,58.0,8.28,8.22,5.09,16390
0.37,Premium,G,VS2,59.3,60.0,4.71,4.67,2.78,833
1.5,Premium,G,SI1,62.3,60.0,7.27,7.17,4.5,7535
0.51,Ideal,I,VS2,,58.0,5.15,5.2,3.13,1268
0.38,Ideal,E,VVS2,60.9,56.0,4.71,4.68,2.06,1068
0.45,Ideal,G,VVS2,61.2,56.0,4.91,4.96,3.02,1135
0.7,Very Good,D,SI1,63.7,59.0,5.59,5.65,3.58,2210
0.91,Premium,I,SI2,62.0,59.0,6.18,6.23,3.85,2913
1.37,Very Good,G,SI2,63.4,61.0,6.95,7.03,4.43,6781
0.32,Ideal,E,VS2,,57.0,4.51,4.46,2.7,960
1.2,Premium,H,SI2,62.8,61.0,6.7,6.62,4.18,4973
1.02,Ideal,F,VS1,61.0,56.0,6.52,6.49,3.97,8157
0.33,Premium,J,VS1,61.5,61.0,4.46,4.39,2.72,557
0.31,Ideal,G,VS1,61.3,56.4,4.36,4.39,2.69,652
0.34,Good,F,SI2,63.5,56.0,4.44,4.48,2.83,447
0.36,Ideal,E,SI1,61.4,57.0,4.56,4.59,2.81,631
0.54,Ideal,F,VS2,60.3,55.0,5.32,5.26,3.19,1786
0.45,Premium,I,SI1,60.3,59.0,4.99,4.93,2.99,941
0.44,Ideal,H,SI1,61.9,56.0,4.91,4.87,3.03,1069
0.32,Ideal,G,SI1,62.6,55.0,4.38,4.41,2.75,445
0.73,Ideal,G,VVS1,61.6,56.0,5.76,5.79,3.56,3913
0.81,Premium,F,SI1,61.9,59.0,5.97,5.95,3.69,3043
1.01,Premium,G,VS2,60.2,59.0,6.55,6.48,3.92,5864
1.2,Very Good,J,VS2,59.9,60.0,6.98,6.95,4.17,5140
2.03,Very Good,I,VS2,59.9,59.0,8.32,8.24,4.96,16422
0.7,Good,G,SI2,59.4,61.0,5.77,5.81,3.44,1948
0.38,Ideal,H,SI1,61.5,56.0,4.67,4.69,2.88,680
0.7,Premium,E,VS2,61.4,59.0,5.73,5.7,3.51,2858
0.33,Premium,I,VVS2,61.4,58.0,4.48,4.45,2.74,743
2.3,Premium,I,SI2,61.3,58.0,8.53,8.46,5.21,11051
0.57,Fair,E,VVS1,58.7,66.0,5.34,5.43,3.16,2805
0.3,Ideal,D,VS2,61.6,57.0,4.33,4.3,2.66,911
0.7,Fair,G,I1,67.3,57.0,5.53,5.38,3.68,956
1.0,Good,F,VS2,64.4,56.0,6.23,6.28,4.03,5407
1.51,Ideal,I,SI1,62.2,56.0,7.36,7.27,4.55,7145
0.21,Very Good,E,VS2,63.2,54.0,3.82,3.78,2.4,386
1.23,Ideal,I,SI2,62.1,56.0,6.84,6.88,4.26,5175
0.33,Premium,E,SI1,62.2,59.0,4.41,4.43,2.75,579
0.27,Very Good,G,VVS1,60.1,58.0,4.21,4.23,2.53,566
1.07,Ideal,H,SI1,61.0,56.0,6.6,6.68,4.05,5281
0.31,Very Good,E,SI1,63.0,59.0,4.26,4.31,2.7,544
0.31,Ideal,I,VS2,62.0,54.0,4.37,4.4,2.72,452
1.09,Ideal,F,SI1,,56.0,6.63,6.66,4.08,6872
1.7,Premium,D,SI2,63.0,59.0,7.67,7.6,4.81,11138
0.9,Ideal,G,VS2,62.6,57.0,6.14,6.2,3.86,4269
1.21,Ideal,H,VS1,62.8,54.0,6.81,6.78,4.26,7928
2.15,Fair,J,I1,65.5,57.0,8.01,7.95,5.23,5430
0.9,Good,H,SI1,61.4,60.0,6.06,6.12,3.74,3730
0.5,Ideal,H,VS2,60.8,56.0,5.17,5.19,3.14,1446
0.92,Very Good,D,VS1,61.9,58.0,6.19,6.24,3.85,7544
0.91,Premium,D,SI2,62.4,56.0,6.2,6.17,3.86,3949
0.59,Very Good,I,VVS1,62.8,58.0,5.3,5.34,3.34,1709
1.09,Premium,H,SI1,59.8,60.0,6.72,6.66,4.0,5335
0.7,Ideal,F,VS1,61.0,55.0,5.77,5.73,3.51,2874
0.7,Premium,G,VS2,58.1,55.0,5.83,5.8,3.38,2657
0.7,Good,H,SI2,64.2,58.0,5.56,5.6,3.58,1697
0.26,Ideal,E,VS1,62.3,57.0,4.05,4.08,2.53,556
0.33,Ideal,H,IF,61.6,55.0,4.48,4.51,2.77,838
1.01,Good,E,SI2,63.3,58.0,6.37,6.39,4.04,4355
0.55,Ideal,F,VS1,60.6,56.0,5.33,5.37,3.24,1890
0.35,Ideal,F,VVS1,61.8,54.0,4.53,4.56,2.81,945
1.1,Very Good,G,VVS1,,60.0,6.59,6.67,4.07,9257
1.71,Premium,I,VS1,,57.0,7.82,7.73,4.71,11246
0.94,Good,D,SI1,63.6,56.0,6.25,6.2,3.96,4790
0.41,Very Good,E,VS1,62.8,56.0,4.72,4.77,2.98,834
0.3,Ideal,E,VVS2,61.9,58.0,4.28,4.32,2.66,766
0.33,Ideal,F,VS2,62.3,56.0,4.43,4.46,2.77,666
0.3,Ideal,F,VS1,61.9,56.0,4.3,4.32,2.67,612
1.02,Very Good,E,VS2,63.3,57.0,6.37,6.43,4.05,6582
1.2,Ideal,G,SI1,61.8,59.0,6.77,6.8,4.19,6762
0.71,Premium,D,SI1,61.3,58.0,5.73,5.75,3.52,2797
0.64,Very Good,E,VVS2,61.8,59.0,5.51,5.53,3.41,3541
0.7,Ideal,E,SI1,61.4,57.0,5.71,5.75,3.52,2656
1.01,Ideal,J,SI1,62.8,57.0,6.4,6.44,4.03,3926
0.71,Premium,D,SI2,61.7,59.0,5.71,5.67,3.51,2768
2.3,Ideal,J,SI1,62.3,57.0,8.41,8.34,5.22,12316
0.5,Ideal,F,VVS2,62.3,57.0,5.06,5.08,3.16,1850
0.9,Ideal,G,SI2,,56.0,6.14,6.19,3.85,3500
2.01,Ideal,J,SI1,62.7,56.0,8.08,8.03,5.05,12209
0.44,Very Good,I,VVS1,60.8,57.0,4.88,4.93,2.98,926
2.0,Premium,J,VS2,60.8,62.0,8.12,8.09,4.93,13162
1.51,Good,G,VS2,63.3,60.0,7.2,7.28,4.58,12756
0.38,Very Good,F,VS2,61.9,54.8,4.63,4.69,2.89,906
0.51,Ideal,F,VS2,62.0,56.0,5.11,5.14,3.18,1595
0.3,Premium,H,VS1,62.1,59.0,4.28,4.25,2.65,630
0.4,Premium,D,SI1,60.8,59.0,4.8,4.77,2.91,990
0.72,Ideal,F,VS2,62.6,57.0,5.72,5.68,3.57,2724
0.32,Ideal,D,SI2,,56.0,4.46,4.43,2.73,612
0.9,Premium,D,SI2,58.1,60.0,6.26,6.24,3.63,3312
1.35,Very Good,G,VS2,62.8,59.0,7.01,7.04,4.41,9302
1.04,Premium,G,VVS2,61.8,58.0,6.47,6.51,4.01,7953
0.73,Ideal,I,VVS2,61.9,55.0,5.8,5.84,3.6,2513
1.68,Ideal,E,SI2,60.4,55.0,7.7,7.79,4.68,11781
0.36,Ideal,D,VS2,62.5,55.0,4.55,4.57,2.85,773
0.37,Premium,F,VS2,61.2,58.0,4.63,4.69,2.85,746
0.32,Ideal,H,VS2,61.5,55.0,4.41,4.44,2.72,523
0.33,Very Good,G,VVS1,62.8,59.0,4.38,4.44,2.77,868
0.7,Premium,F,SI2,59.6,58.0,5.79,5.72,3.43,2234
1.56,Premium,F,SI1,60.5,59.0,7.54,7.49,4.55,9120
1.52,Fair,H,I1,69.7,55.0,6.92,6.89,4.81,4648
1.15,Premium,H,SI2,,59.0,6.82,6.78,4.05,3735
0.55,Good,E,VS2,59.8,61.0,5.29,5.32,3.17,1695
1.07,Ideal,J,SI1,61.5,55.0,6.58,6.62,4.06,5281
0.42,Ideal,E,VS2,62.2,55.0,4.79,4.83,2.99,958
1.6,Premium,F,SI2,61.1,58.0,7.57,7.53,4.61,9229
0.26,Ideal,G,IF,62.2,55.0,4.09,4.13,2.55,605
0.56,Ideal,D,VS1,62.6,55.0,5.25,5.29,3.3,2057
0.35,Ideal,I,VVS1,61.8,55.0,4.53,4.56,2.81,627
0.3,Ideal,E,VS2,61.5,56.0,4.29,4.33,2.65,658
0.33,Premium,E,VS2,60.6,60.0,4.43,4.48,2.7,723
0.41,Ideal,F,VVS2,61.0,56.0,4.78,4.82,2.93,1115
0.41,Good,J,VS2,64.0,59.0,4.64,4.71,2.99,565
1.0,Good,H,VS1,62.1,64.0,6.4,6.18,3.91,4732
0.36,Ideal,D,VS2,61.8,56.0,4.6,4.56,2.83,1094
0.34,Premium,F,VS1,60.0,59.0,4.59,4.55,2.74,725
0.32,Ideal,E,VS1,61.9,56.0,4.38,4.41,2.72,758
0.71,Very Good,E,SI1,59.3,55.0,5.83,5.9,3.48,2573
1.05,Premium,G,SI2,61.8,60.0,6.49,6.46,4.0,4198
1.51,Premium,I,SI1,58.6,62.0,7.51,7.45,4.38,8574
1.02,Ideal,E,SI2,62.7,57.0,6.35,6.44,4.01,4585
0.59,Premium,D,SI1,62.8,57.0,5.38,5.32,3.36,1835
0.33,Ideal,D,SI1,60.9,56.0,4.46,4.5,2.73,736
1.12,Premium,H,SI1,61.6,59.0,6.67,6.63,4.1,5363
0.51,Ideal,E,VVS2,60.7,58.0,5.19,5.17,3.14,2545
1.12,Ideal,G,VS2,61.0,57.0,6.69,6.72,4.09,7634
0.5,Ideal,I,VS2,61.6,54.0,5.11,5.14,3.16,1220
1.02,Ideal,H,SI2,62.5,53.0,6.43,6.47,4.03,4918
0.83,Premium,H,SI1,60.0,59.0,6.08,6.05,3.64,2825
1.12,Premium,E,SI2,63.0,61.0,6.66,6.61,4.18,4215
0.32,Premium,E,VS1,62.0,58.0,4.35,4.29,2.68,1008
0.73,Premium,J,VS1,61.3,61.0,5.83,5.78,3.56,2037
0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3471
1.0,Ideal,E,VS2,59.6,57.0,6.43,6.42,3.83,7168
0.31,Ideal,I,VS1,62.8,57.0,4.32,4.28,2.7,628
0.33,Premium,G,VVS2,60.6,58.0,4.5,4.47,2.72,965
0.31,Ideal,E,VS2,61.6,57.0,4.35,4.38,2.69,680
2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,13907
1.2,Very Good,F,SI1,63.5,57.0,6.65,6.74,4.25,6872
2.06,Good,H,I1,64.3,58.0,8.03,7.99,5.15,6091
0.5,Ideal,E,VS2,62.2,56.0,5.12,5.11,3.18,1629
0.7,Ideal,F,SI1,61.1,56.0,5.74,5.78,3.52,2671
0.31,Premium,G,SI2,62.3,57.0,4.37,4.33,2.71,523
0.3,Very Good,E,VS1,61.4,59.0,4.32,4.28,2.64,653
1.01,Ideal,G,IF,62.2,61.0,6.34,6.4,3.96,8957
0.71,Ideal,G,VS2,61.6,55.0,5.74,5.78,3.55,2537
1.8,Ideal,H,VS1,62.0,57.0,7.84,7.78,4.84,16683
1.06,Premium,E,VS2,61.3,58.0,6.52,6.56,4.01,7275
2.01,Premium,H,SI1,61.7,60.0,8.06,7.96,4.94,18188
2.01,Good,F,SI2,64.0,58.0,7.94,7.83,5.05,17313
0.3,Ideal,E,VS1,62.1,58.0,4.27,4.3,2.66,670
0.9,Good,D,SI2,63.8,58.0,6.09,6.13,3.9,3806
1.13,Premium,H,VS2,62.0,57.0,6.68,6.62,4.12,5650
0.59,Premium,E,VS2,59.1,61.0,5.61,5.53,3.29,1641
1.37,Very Good,E,SI2,62.5,59.0,6.98,7.04,4.38,7365
0.9,Very Good,F,SI1,63.4,58.0,6.09,6.12,3.87,3950
0.9,Very Good,E,SI1,61.6,57.0,6.19,6.25,3.83,4463
0.53,Ideal,H,VS2,61.4,56.0,5.2,5.23,3.2,2031
0.78,Very Good,G,VS1,61.5,55.0,5.92,5.97,3.66,3472
1.36,Very Good,G,VVS2,60.8,60.0,7.12,7.16,4.34,11774
0.86,Premium,H,SI2,,58.0,6.15,6.12,3.74,2757
0.46,Very Good,E,SI1,,63.0,5.09,5.02,3.0,1032
0.54,Very Good,I,SI1,,60.0,5.2,5.24,3.2,1079
2.2,Premium,G,SI2,60.4,60.0,8.44,8.36,5.08,15897
0.76,Premium,E,SI2,62.4,58.0,5.83,5.86,3.65,2451
0.43,Ideal,H,VVS2,,56.0,4.9,4.86,2.99,1008
1.18,Very Good,D,SI1,61.7,57.0,6.8,6.84,4.21,7093
0.53,Good,I,SI1,65.5,59.0,5.01,5.06,3.3,923
0.9,Premium,E,SI1,62.4,57.0,6.19,6.14,3.85,3609
0.51,Ideal,D,VS2,61.2,55.0,5.18,5.16,3.16,1882
2.28,Ideal,J,SI1,61.6,57.0,8.5,8.43,5.21,12755
0.32,Premium,I,VS2,62.2,59.0,4.37,4.35,2.71,576
0.32,Ideal,F,IF,61.9,55.0,4.38,4.44,2.73,915
1.21,Ideal,G,VS2,61.8,57.0,6.83,6.79,4.21,8001
0.31,Very Good,H,SI1,62.4,57.0,4.31,4.35,2.7,435
0.9,Ideal,D,SI1,62.5,57.0,6.12,6.2,3.85,4579
0.51,Very Good,D,SI1,61.0,60.0,5.15,5.18,3.15,1569
0.96,Very Good,D,SI2,60.2,63.0,6.3,6.36,3.81,3480
1.05,Ideal,D,SI2,61.9,56.0,6.53,6.5,4.03,5204
0.32,Ideal,E,VVS2,62.3,56.0,4.4,4.37,2.73,1080
1.07,Ideal,F,SI2,61.5,57.0,6.57,6.6,4.05,4678
0.3,Premium,G,VS1,61.7,60.0,4.28,4.24,2.63,776
1.07,Premium,H,VS1,62.5,56.0,6.6,6.52,4.1,5764
